DB74,X0.0;VALVE_DN1350_CMD_OPEN
DB74,X0.1;VALVE_DN1350_CMD_CLOSE
DB74,X0.2;VALVE_DN1350_FB_OPEN
DB74,X0.3;VALVE_DN1350_FB_CLOSE
DB74,X0.4;VALVE_DN1350_REMOTE
DB74,X0.5;VALVE_DN1350_CMD_ALARM
DB74,X0.6;VALVE_DN1350_SPARE_1
DB74,X0.7;VALVE_DN1350_SPARE_2
DB74,X1.0;VALVE_DN1400_IN_CMD_OPEN
DB74,X1.1;VALVE_DN1400_IN_CMD_CLOSE
DB74,X1.2;VALVE_DN1400_FB_OPEN
DB74,X1.3;VALVE_DN1400_FB_CLOSE
DB74,X1.4;VALVE_DN1400_IN_FILL_CMD_OPEN
DB74,X1.5;VALVE_DN1400_IN_FILL_CMD_CLOSE
DB74,X1.6;VALVE_DN1400_IN_FILL_FB_OPEN
DB74,X1.7;VALVE_DN1400_IN_FILL_FB_CLOSE
DB74,X2.0;VALVE_DN1400_OUT_CMD_OPEN
DB74,X2.1;VALVE_DN1400_OUT_CMD_CLOSE
DB74,X2.2;VALVE_DN1400_OUT_FB_OPEN
DB74,X2.3;VALVE_DN1400_OUT_FB_CLOSE
DB74,X2.4;VALVE_DN1400_OUT_FILL_CMD_OPEN
DB74,X2.5;VALVE_DN1400_OUT_FILL_CMD_CLOSE
DB74,X2.6;VALVE_DN1400_OUT_FILL_FB_OPEN
DB74,X2.7;VALVE_DN1400_OUT_FILL_FB_CLOSE
DB74,X3.0;VALVE_DN900_CMD_OPEN
DB74,X3.1;VALVE_DN900_CMD_CLOSE
DB74,X3.2;VALVE_DN900_FB_OPEN
DB74,X3.3;VALVE_DN900_FB_CLOSE
DB74,X3.4;VALVE_DN900_FILL_CMD_OPEN
DB74,X3.5;VALVE_DN900_FILL_CMD_CLOSE
DB74,X3.6;VALVE_DN900_FILL_FB_OPEN
DB74,X3.7;VALVE_DN900_FILL_FB_CLOSE
DB74,X4.0;HPU_TURB_MOTOR
DB74,X4.1;HPU_TURB_QSD_VALVE
DB74,X4.2;HPU_TURB_BRAKE
DB74,X4.3;HPU_TURB_DN900_VALVE
DB74,X4.4;HPU_TURB_DN1400_VALVE
DB74,X4.5;HPU_BYPASS_MOTOR
DB74,X4.6;HPU_BYPASS_CIRC_VALVE
DB74,X4.7;HPU_BYPASS_DN1400_VALVE
DB74,X5.0;VALVE_DN1800_QSD
DB74,X5.1;VALVE_DN1800_CLOSE
DB74,X5.2;VALVE_DN1800_OPEN
DB74,X5.3;SYS_UPS_ALARM
DB74,X5.4;SYS_SHUTDOWN_ALARM
DB74,X5.5;VALVE_OPV_FB_OPEN
DB74,X5.6;VALVE_OPV_FB_CLOSE
DB74,X5.7;VALVE_OPV_ALARM
DB74,INT6;TURB_GUIDE_VANE_RAW
DB74,REAL8;TURB_GUIDE_VANE
DB74,REAL12;TURB_FLOW_IN
DB74,REAL16;ENV_WATER_IN
DB74,REAL20;ENV_WATER_OUT
DB74,REAL24;TURB_PRESS_BEFORE
DB74,REAL28;TURB_PRESS_AFTER
DB74,REAL32;GEN_POWER_P
DB74,REAL36;GEN_POWER_Q
DB74,REAL40;GEN_POWER_S
DB74,REAL44;HPU_PRESS_TURB1
DB74,REAL48;HPU_PRESS_BYPASS2
DB74,REAL52;GEN_TEMP_U
DB74,REAL56;GEN_TEMP_V
DB74,REAL60;GEN_TEMP_W
DB74,REAL64;GEN_BEAR_TEMP_DE
DB74,REAL68;GEN_BEAR_TEMP_NDE
DB74,REAL72;GEN_VIB_DE
DB74,REAL76;GEN_VIB_NDE
DB74,REAL80;GEN_SPEED_PCT
DB74,REAL84;GEN_SPEED
DB74,REAL88;ELEC_CURR_L1
DB74,REAL92;ELEC_CURR_L2
DB74,REAL96;ELEC_CURR_L3
DB74,REAL100;ELEC_CURR_L1P
DB74,REAL104;ELEC_CURR_L2P
DB74,REAL108;ELEC_CURR_L3P
DB74,REAL112;ELEC_VOLT_AB
DB74,REAL116;ELEC_VOLT_BC
DB74,REAL120;ELEC_VOLT_CA
DB74,REAL124;CTRL_TEMP
DB74,REAL128;GEN_TEMP_ENV
DB74,REAL132;ENV_NOISE_IN
DB74,REAL136;ENV_NOISE_OUT
DB74,REAL140;CALC_FLOW_PLUNGER
DB74,REAL144;CALC_FLOW_TURBINE
DB74,REAL148;CALC_FLOW_TOTAL
DB74,REAL152;VALVE_DN1350_PRESS_IN
DB74,REAL156;VALVE_DN1350_PRESS_OUT
DB74,REAL160;VALVE_OPV_PRESS_WATER
DB74,REAL164;VALVE_OPV_PRESS_HYD
